2025-09-02 15:21:29 | service | 8.8.8.8 | up | 69ms
2025-09-02 15:21:29 | web | google.com | up | 127ms
2025-09-02 15:21:29 |  | 8.8.8.8 | up | 125ms
2025-09-02 15:22:29 | ip | 10.16.1.3 | up | 44ms
2025-09-02 15:22:29 | ip | 10.16.8.16 | up | 40ms
2025-09-02 15:22:29 | ip | 10.16.1.7 | up | 35ms
2025-09-02 15:22:34 | ip | 10.16.0.5 | down | ms
2025-09-02 15:22:34 | ip | 10.16.0.127 | up | 48ms
2025-09-02 15:22:39 | ip | 10.16.0.7 | down | ms
2025-09-02 15:22:44 | ip | 172.16.1.1 | down | ms
2025-09-02 15:22:49 | ip | 172.16.1.2 | down | ms
2025-09-02 15:22:49 | ip | 10.16.8.249 | up | 38ms
2025-09-02 15:22:49 | ip | 10.16.8.2 | up | 38ms
2025-09-02 15:22:50 | ip | 10.16.8.5 | up | 1312ms
2025-09-02 15:22:50 | ip | 10.16.8.40 | up | 41ms
2025-09-02 15:22:51 | ip | 10.16.8.4 | up | 48ms
2025-09-02 15:22:52 | ip | 10.16.8.10 | up | 1223ms
2025-09-02 15:22:52 | ip | 10.16.8.7 | up | 43ms
2025-09-02 15:22:53 | ip | 10.16.8.20 | up | 1404ms
2025-09-02 15:22:54 | ip | 10.16.8.25 | up | 37ms
2025-09-02 15:22:54 | ip | 10.16.8.9 | up | 36ms
2025-09-02 15:22:54 | ip | 10.16.8.61 | up | 43ms
2025-09-02 15:22:54 | ip | 10.16.8.6 | up | 42ms
2025-09-02 15:22:54 | ip | 10.16.8.11 | up | 43ms
2025-09-02 15:22:55 | ip | 10.16.8.254 | up | 1378ms
2025-09-02 15:22:55 | ip | 10.16.1.8 | up | 47ms
2025-09-02 15:23:00 | ip | 189.202.180.34 | down | ms
2025-09-02 15:23:05 | ip | 189.202.180.40 | down | ms
2025-09-02 15:23:05 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:23:06 | web | tlalpan.cdmx.gob.mx | up | 405ms
2025-09-02 15:23:06 | web | correo2.cdmx.gob.mx | up | 114ms
2025-09-02 15:23:06 | web | http://10.16.1.3/VU/ | up | 12ms
2025-09-02 15:23:06 | service | 8.8.8.8 | up | 69ms
2025-09-02 15:23:06 | web | google.com | up | 139ms
2025-09-02 15:23:07 |  | 8.8.8.8 | up | 556ms
2025-09-02 15:24:07 | ip | 10.16.1.3 | up | 45ms
2025-09-02 15:24:07 | ip | 10.16.8.16 | up | 48ms
2025-09-02 15:24:07 | ip | 10.16.1.7 | up | 35ms
2025-09-02 15:24:12 | ip | 10.16.0.5 | down | ms
2025-09-02 15:24:12 | ip | 10.16.0.127 | up | 59ms
2025-09-02 15:24:17 | ip | 10.16.0.7 | down | ms
2025-09-02 15:24:22 | ip | 172.16.1.1 | down | ms
2025-09-02 15:24:27 | ip | 172.16.1.2 | down | ms
2025-09-02 15:24:27 | ip | 10.16.8.249 | up | 43ms
2025-09-02 15:24:27 | ip | 10.16.8.2 | up | 44ms
2025-09-02 15:24:29 | ip | 10.16.8.5 | up | 1296ms
2025-09-02 15:24:29 | ip | 10.16.8.40 | up | 32ms
2025-09-02 15:24:29 | ip | 10.16.8.4 | up | 36ms
2025-09-02 15:24:30 | ip | 10.16.8.10 | up | 1347ms
2025-09-02 15:24:30 | ip | 10.16.8.7 | up | 41ms
2025-09-02 15:24:32 | ip | 10.16.8.20 | up | 1324ms
2025-09-02 15:24:32 | ip | 10.16.8.25 | up | 37ms
2025-09-02 15:24:32 | ip | 10.16.8.9 | up | 52ms
2025-09-02 15:24:32 | ip | 10.16.8.61 | up | 61ms
2025-09-02 15:24:32 | ip | 10.16.8.6 | up | 47ms
2025-09-02 15:24:32 | ip | 10.16.8.11 | up | 35ms
2025-09-02 15:24:34 | ip | 10.16.8.254 | up | 1517ms
2025-09-02 15:24:34 | ip | 10.16.1.8 | up | 44ms
2025-09-02 15:24:39 | ip | 189.202.180.34 | down | ms
2025-09-02 15:24:44 | ip | 189.202.180.40 | down | ms
2025-09-02 15:24:44 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:24:45 | web | tlalpan.cdmx.gob.mx | up | 642ms
2025-09-02 15:24:45 | web | correo2.cdmx.gob.mx | up | 142ms
2025-09-02 15:24:45 | web | http://10.16.1.3/VU/ | up | 21ms
2025-09-02 15:24:45 | service | 8.8.8.8 | up | 69ms
2025-09-02 15:24:45 | web | google.com | up | 120ms
2025-09-02 15:24:45 |  | 8.8.8.8 | up | 72ms
2025-09-02 15:25:45 | ip | 10.16.1.3 | up | 46ms
2025-09-02 15:25:45 | ip | 10.16.8.16 | up | 54ms
2025-09-02 15:25:46 | ip | 10.16.1.7 | up | 45ms
2025-09-02 15:25:50 | ip | 10.16.0.5 | down | ms
2025-09-02 15:25:50 | ip | 10.16.0.127 | up | 42ms
2025-09-02 15:25:55 | ip | 10.16.0.7 | down | ms
2025-09-02 15:26:00 | ip | 172.16.1.1 | down | ms
2025-09-02 15:26:05 | ip | 172.16.1.2 | down | ms
2025-09-02 15:26:05 | ip | 10.16.8.249 | up | 32ms
2025-09-02 15:26:06 | ip | 10.16.8.2 | up | 48ms
2025-09-02 15:26:07 | ip | 10.16.8.5 | up | 1267ms
2025-09-02 15:26:07 | ip | 10.16.8.40 | up | 44ms
2025-09-02 15:26:07 | ip | 10.16.8.4 | up | 45ms
2025-09-02 15:26:08 | ip | 10.16.8.10 | up | 1316ms
2025-09-02 15:26:08 | ip | 10.16.8.7 | up | 35ms
2025-09-02 15:26:10 | ip | 10.16.8.20 | up | 1353ms
2025-09-02 15:26:10 | ip | 10.16.8.25 | up | 61ms
2025-09-02 15:26:10 | ip | 10.16.8.9 | up | 46ms
2025-09-02 15:26:10 | ip | 10.16.8.61 | up | 48ms
2025-09-02 15:26:10 | ip | 10.16.8.6 | up | 45ms
2025-09-02 15:26:10 | ip | 10.16.8.11 | up | 36ms
2025-09-02 15:26:12 | ip | 10.16.8.254 | up | 1482ms
2025-09-02 15:26:12 | ip | 10.16.1.8 | up | 34ms
2025-09-02 15:26:17 | ip | 189.202.180.34 | down | ms
2025-09-02 15:26:22 | ip | 189.202.180.40 | down | ms
2025-09-02 15:26:22 | web | sips.tlalpan.gob.mx | down | ms
2025-09-02 15:26:22 | web | tlalpan.cdmx.gob.mx | up | 445ms
2025-09-02 15:26:23 | web | correo2.cdmx.gob.mx | up | 110ms
2025-09-02 15:26:23 | web | http://10.16.1.3/VU/ | up | 18ms
2025-09-02 15:26:23 | service | 8.8.8.8 | up | 74ms
2025-09-02 15:26:23 | web | google.com | up | 145ms
2025-09-02 15:26:23 |  | 8.8.8.8 | up | 79ms
2025-09-02 15:27:23 | ip | 10.16.1.3 | up | 45ms
2025-09-02 15:27:23 | ip | 10.16.8.16 | up | 36ms
2025-09-02 15:27:23 | ip | 10.16.1.7 | up | 32ms
2025-09-02 15:27:28 | ip | 10.16.0.5 | down | ms
2025-09-02 15:27:28 | ip | 10.16.0.127 | up | 42ms
2025-09-02 15:27:33 | ip | 10.16.0.7 | down | ms
2025-09-02 15:27:38 | ip | 172.16.1.1 | down | ms
2025-09-02 15:27:43 | ip | 172.16.1.2 | down | ms
2025-09-02 15:27:43 | ip | 10.16.8.249 | up | 37ms
2025-09-02 15:27:43 | ip | 10.16.8.2 | up | 49ms
2025-09-02 15:27:45 | ip | 10.16.8.5 | up | 1318ms
2025-09-02 15:27:45 | ip | 10.16.8.40 | up | 43ms
2025-09-02 15:27:45 | ip | 10.16.8.4 | up | 45ms
2025-09-02 15:27:46 | ip | 10.16.8.10 | up | 1280ms
2025-09-02 15:27:46 | ip | 10.16.8.7 | up | 83ms
2025-09-02 15:27:48 | ip | 10.16.8.20 | up | 1313ms
2025-09-02 15:27:48 | ip | 10.16.8.25 | up | 45ms
2025-09-02 15:27:48 | ip | 10.16.8.9 | up | 34ms
